fid,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
1,"4825621",5113,primary,,F26,B,0,0,F,F
2,"4825630",5113,primary,कान्ति पथ,,F,0,0,F,F
3,"4825671",5115,tertiary,थाबाही सादक,,F,0,0,F,F
4,"4839933",5121,unclassified,,,F,0,0,F,F
5,"4839936",5132,trunk_link,,,F,0,0,F,F
6,"4839958",5132,trunk_link,,,F,0,0,F,F
7,"4840030",5114,secondary,बत्तीसपुतली मार्ग,,B,0,0,F,F
8,"4840039",5114,secondary,बाबुराम अचार्य मार्ग,,B,0,0,F,F
9,"4840054",5113,primary,,,B,0,0,F,F
10,"4840057",5114,secondary,कमलादी मार्ग,,B,0,0,F,F
11,"4840060",5122,residential,Pragya Marg,,B,0,0,F,F
12,"4840073",5114,secondary,तीनधारा मार्ग,,F,0,0,F,F
13,"4840092",5113,primary,जमल मार्ग,,F,0,0,F,F
14,"4840104",5113,primary,रत्न पार्क मार्ग,,F,0,0,F,F
15,"4840124",5114,secondary,बाघबजार सडक,,B,0,0,F,F
16,"4840223",5114,secondary,सिनामंगल सडक,,B,0,0,F,F
17,"4840264",5114,secondary,पशुपति सडक,,B,0,0,F,F
18,"4840283",5113,primary,नारायणहिटी पथ,,B,0,0,F,F
19,"4840288",5113,primary,हात्तीसार सडक,,B,0,0,F,F
20,"4840304",5112,trunk,Kathmandu Ringroad,NH39,B,40,0,F,F
21,"4840318",5113,primary,,,F,0,0,F,F
22,"4840388",5115,tertiary,New Road,,F,0,0,F,F
23,"4840392",5115,tertiary,सुक्र पथ,,B,0,0,F,F
24,"4840408",5115,tertiary,धर्म मार्ग,,B,0,0,F,F
25,"4840409",5122,residential,Chittadhar Marg,,B,0,0,F,F
26,"4840453",5122,residential,Swayambhu Marg,,B,0,0,F,F
27,"4847059",5132,trunk_link,,,F,0,0,F,F
28,"4847061",5113,primary,,F86,B,0,0,F,F
29,"4847083",5113,primary,Bhaktapur — Nagarkot,F28,B,0,0,F,F
30,"4847094",5112,trunk,Araniko Highway,NH34,F,80,0,F,F
31,"4847306",5124,pedestrian,,,B,0,0,F,F
32,"5407366",5114,secondary,Baudhadwar Marg,,B,0,0,F,F
33,"5407374",5115,tertiary,तुषाल मार्ग,,B,0,0,F,F
34,"5407397",5114,secondary,बौद्धद्वार मार्ग,,B,0,0,F,F
35,"5407448",5122,residential,,,B,0,0,F,F
36,"5407463",5114,secondary,,,B,0,0,F,F
37,"5407519",5114,secondary,गुहेश्वरी मार्ग,,F,0,0,F,F
38,"5407550",5114,secondary,धर्म भक्त मार्ग,,B,0,0,F,F
39,"23384859",5114,secondary,,F27,B,0,0,F,F
40,"23395604",5114,secondary,,F22,B,0,0,F,F
72,"24667319",5112,trunk,रबिभवन सडक,NH41,B,30,0,F,F
73,"24667562",5113,primary,बालाजु-सौरखुट्टे सडक,,B,0,0,F,F
74,"24667563",5122,residential,Ganeshraj Marg,,B,0,0,F,F
75,"24683724",5124,pedestrian,Z Marg,,B,0,0,F,F
76,"24683727",5122,residential,Nityanath Marg,,B,0,0,F,F
77,"24683728",5115,tertiary,चन्द्रमन मास्की मार्ग,,B,0,1,F,F
78,"24683729",5122,residential,Jyatha Marg,,B,0,0,F,F
79,"24683733",5115,tertiary,Khichapukhu Sadak,,B,0,0,F,F
80,"24683734",5115,tertiary,,,B,0,0,F,F
81,"24683736",5122,residential,Surat Bajra Marg,,B,0,0,F,F
82,"24684286",5124,pedestrian,Ganga Path,,B,0,0,F,F
83,"24684287",5122,residential,Dhobidhara Marg,,F,0,0,F,F
84,"24684291",5114,secondary,उत्तर ढोका रोड,,B,0,0,F,F
85,"24684294",5122,residential,Karunamaya Marg,,B,0,0,F,F
86,"24684297",5155,steps,,,B,0,0,F,F
87,"24684300",5115,tertiary,itachhen,,B,0,0,F,F
88,"24684301",5121,unclassified,,F99,B,0,0,F,F
89,"24684520",5113,primary,बालाजु माछा पोखरी - बाइपास,NH18,B,0,0,F,F
90,"24691025",5113,primary,,,B,0,0,F,F
91,"24691221",5114,secondary,बिजेश्वरी पुल,,B,0,1,T,F
92,"24691222",5112,trunk,गणेशमान सिंह पथ,NH41,B,30,0,F,F
93,"24691223",5112,trunk,गणेशमान सिंह पथ,NH41,B,30,1,T,F
94,"24707457",5114,secondary,प्रदर्शनी मार्ग,,F,0,0,F,F
95,"24707526",5122,residential,,,B,0,0,F,F
96,"24707543",5114,secondary,स्वयम्भू परिकर्मा,,F,0,0,F,F
97,"24707651",5155,steps,,,B,0,0,F,F
117,"25512467",5113,primary,Pasang Lhamu Highway,NH18,B,0,0,F,F
118,"25512472",5113,primary,पासाङ ल्हामु राजमर्ग,NH18,B,0,0,F,F
119,"25512537",5112,trunk,Araniko Highway,NH34,B,0,0,F,F
120,"26408193",5114,secondary,,F28,B,0,0,F,F
121,"26408247",5121,unclassified,,26DR006,B,0,0,F,F
